year,month,date,song,band,views
2015,03,01,Leave,Potato,NA
2015,03,01,Soulmate,Cocktail,22085749
2015,03,01,Object,Klear,NA
2015,03,01,Never,25hours,NA
2015,04,01,Leave,Potato,NA
2015,04,01,Soulmate,Cocktail,51963702
2015,04,01,Object,Klear,NA
2015,04,01,Never,25hours,NA
2015,05,01,Leave,Potato,NA
2015,05,01,Soulmate,Cocktail,72084731
2015,05,01,Object,Klear,NA
2015,05,01,Never,25hours,NA
2015,06,01,Leave,Potato,NA
2015,06,01,Soulmate,Cocktail,83167185
2015,06,01,Object,Klear,NA
2015,06,01,Never,25hours,15905835
2015,07,01,Leave,Potato,28759204
2015,07,01,Soulmate,Cocktail,93926478
2015,07,01,Object,Klear,NA
2015,07,01,Never,25hours,24967071
2015,08,01,Leave,Potato,42764985
2015,08,01,Soulmate,Cocktail,104726409
2015,08,01,Object,Klear,NA
2015,08,01,Never,25hours,34869031
2015,09,01,Leave,Potato,55058782
2015,09,01,Soulmate,Cocktail,112837592
2015,09,01,Object,Klear,NA
2015,09,01,Never,25hours,43891653
2015,10,01,Leave,Potato,65830475
2015,10,01,Soulmate,Cocktail,120731257
2015,10,01,Object,Klear,32967584
2015,10,01,Never,25hours,51864732
2015,11,01,Leave,Potato,74937561
2015,11,01,Soulmate,Cocktail,127493875
2015,11,01,Object,Klear,57845362
2015,11,01,Never,25hours,59835219
2015,12,01,Leave,Potato,83957295
2015,12,01,Soulmate,Cocktail,133274836
2015,12,01,Object,Klear,68584632
2015,12,01,Never,25hours,68603754
2016,01,01,Leave,Potato,90572954
2016,01,01,Soulmate,Cocktail,137269403
2016,01,01,Object,Klear,77483654
2016,01,01,Never,25hours,75563028
2016,02,01,Leave,Potato,96385620
2016,02,01,Soulmate,Cocktail,143652957
2016,02,01,Object,Klear,86549751
2016,02,01,Never,25hours,82730732
2016,03,01,Leave,Potato,101583653
2016,03,01,Soulmate,Cocktail,146385658
2016,03,01,Object,Klear,93475293
2016,03,01,Never,25hours,90876302
2016,04,01,Leave,Potato,106295730
2016,04,01,Soulmate,Cocktail,150194728
2016,04,01,Object,Klear,100463243
2016,04,01,Never,25hours,100570283
2016,05,01,Leave,Potato,110395720
2016,05,01,Soulmate,Cocktail,152538217
2016,05,01,Object,Klear,105847362
2016,05,01,Never,25hours,108564730
2016,06,01,Leave,Potato,115958264
2016,06,01,Soulmate,Cocktail,154214927
2016,06,01,Object,Klear,109564721
2016,06,01,Never,25hours,113857464
2016,07,01,Leave,Potato,120583756
2016,07,01,Soulmate,Cocktail,155139684
2016,07,01,Object,Klear,113756295
2016,07,01,Never,25hours,117574032
2016,08,01,Leave,Potato,126999543
2016,08,01,Soulmate,Cocktail,155992857
2016,08,01,Object,Klear,116986431
2016,08,01,Never,25hours,120986402
2016,09,01,Leave,Potato,132645342
2016,09,01,Soulmate,Cocktail,157729563
2016,09,01,Object,Klear,122967435
2016,09,01,Never,25hours,123957432
2016,10,01,Leave,Potato,140856372
2016,10,01,Soulmate,Cocktail,158947264
2016,10,01,Object,Klear,127563926
2016,10,01,Never,25hours,124870302
2016,11,01,Leave,Potato,147998765
2016,11,01,Soulmate,Cocktail,160747284
2016,11,01,Object,Klear,133857421
2016,11,01,Never,25hours,127569311
2016,12,01,Leave,Potato,154876543
2016,12,01,Soulmate,Cocktail,161217185
2016,12,01,Object,Klear,139574639
2016,12,01,Never,25hours,130869409
2017,01,01,Leave,Potato,157473641
2017,01,01,Soulmate,Cocktail,161752957
2017,01,01,Object,Klear,143867432
2017,01,01,Never,25hours,133976037
2017,02,01,Leave,Potato,160857362
2017,02,01,Soulmate,Cocktail,162496836
2017,02,01,Object,Klear,146483754
2017,02,01,Never,25hours,136011769
2017,03,01,Leave,Potato,162574632
2017,03,01,Soulmate,Cocktail,162837285
2017,03,01,Object,Klear,148563249
2017,03,01,Never,25hours,143866187
2017,04,01,Leave,Potato,163957321
2017,04,01,Soulmate,Cocktail,163311357
2017,04,01,Object,Klear,150674532
2017,04,01,Never,25hours,154967720
2017,05,01,Leave,Potato,165966543
2017,05,01,Soulmate,Cocktail,163658265
2017,05,01,Object,Klear,152876433
2017,05,01,Never,25hours,164859211
2017,06,01,Leave,Potato,168756432
2017,06,01,Soulmate,Cocktail,164131376
2017,06,01,Object,Klear,154975443
2017,06,01,Never,25hours,169573066
2017,07,01,Leave,Potato,170489073
2017,07,01,Soulmate,Cocktail,164438674
2017,07,01,Object,Klear,156583421
2017,07,01,Never,25hours,172659385
2017,08,01,Leave,Potato,172475645
2017,08,01,Soulmate,Cocktail,164731658
2017,08,01,Object,Klear,158564532
2017,08,01,Never,25hours,174859302
2017,09,01,Leave,Potato,175463728
2017,09,01,Soulmate,Cocktail,165184936
2017,09,01,Object,Klear,161485946
2017,09,01,Never,25hours,176006723
