month,song,views
01,Leave,190574836
02,Leave,191956473
03,Leave,177715552.5
04,Leave,178856722
05,Leave,180235637.5
06,Leave,182217688.5
07,Leave,183371252.5
08,Leave,184911114
09,Leave,187210100.5
10,Leave,190407079.5
11,Leave,193856983.5
12,Leave,197530182
01,Never,185772649
02,Never,187608321
03,Never,169262245
04,Never,178433642
05,Never,186212089.5
06,Never,190379356.5
07,Never,193763390
08,Never,195721178
09,Never,196735904
10,Never,199118478
11,Never,201862969
12,Never,203612468.5
01,Object,177564321
02,Object,179453654
03,Object,165063990.5
04,Object,167167103.5
05,Object,169259844.5
06,Object,171268215
07,Object,173073873
08,Object,175120087.5
09,Object,178479902.5
10,Object,184122892
11,Object,190515391.5
12,Object,196974827.5
01,Soulmate,166499956
02,Soulmate,166840032
03,Soulmate,164937880
04,Soulmate,165330287
05,Soulmate,165626999.5
06,Soulmate,165984320
07,Soulmate,166257157.5
08,Soulmate,166507880.5
09,Soulmate,166871664
10,Soulmate,167755565
11,Soulmate,168165978
12,Soulmate,168626510
